,site,N_effect,Lat,Lon,Cropland,Forest,wetland,Grassland,Rate,SOC,TN,C_N,pH,PDQ,PWaQ,PCQ
1,1,0.868,35.22,107.67,1,0,0,0,5.5,,,8.01,,17,272,17
2,2,1.212,42.24,127.9,0,1,0,0,2.3,,,,,20,458,20
3,2,1.523,42.24,127.9,0,1,0,0,4.6,,,,,20,458,20
4,2,0.798,42.24,127.9,0,1,0,0,6.9,,,,,20,458,20
5,3,1.237,31.68,103.88,0,1,0,0,25,,,,,23,388,23
6,3,1.183,31.68,103.88,0,1,0,0,25,,,,,23,388,23
7,4,0.832,25.6,116.4,0,1,0,0,6,12.38,0.98,12.63,,147,521,190
8,4,0.852,25.6,116.4,0,1,0,0,24,12.38,0.98,12.63,,147,521,190
9,5,1.083,36.95,117.97,1,0,0,0,15.2,11.079,1.13,9.8,,20,417,20
10,5,1.088,36.95,117.97,1,0,0,0,22.8,11.079,1.13,9.8,,20,417,20
11,6,1.091,31.64,121.61,1,0,0,0,15,6.439,,,8,117,439,118
12,6,1.11,31.64,121.61,1,0,0,0,30,6.439,,,8,117,439,118
13,6,1.077,31.64,121.61,1,0,0,0,45,6.439,,,8,117,439,118
14,7,1.02,28.68,103.8,0,1,0,0,5,,,,,51,629,51
15,7,0.98,28.68,103.8,0,1,0,0,10,,,,,51,629,51
16,7,0.869,28.68,103.8,0,1,0,0,15,,,,,51,629,51
17,8,0.877,44.22,118.78,0,1,0,0,1,35.62,3.95,9.02,6.1,7,285,7
18,8,1.037,44.22,118.78,0,1,0,0,2.5,35.62,3.95,9.02,6.1,7,285,7
19,8,0.951,44.22,118.78,0,1,0,0,5,35.62,3.95,9.02,6.1,7,285,7
20,9,1.042,37.76,118.99,0,0,1,0,5,4.2,0.6,7,,21,399,21
21,9,1,37.76,118.99,0,0,1,0,10,4.2,0.6,7,,21,399,21
22,10,0.732,28.07,113.08,0,1,0,0,5,,,,,190,424,207
23,10,0.745,28.07,113.08,0,1,0,0,15,,,,,190,424,207
24,10,0.762,28.07,113.08,0,1,0,0,30,,,,,190,424,207
25,11,0.937,29.67,102.9,0,1,0,0,30,,,,,49,640,49
